"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Eastside Timbers Green B02",415,0.44,0.16,33,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White","OYS Presidents Cup B02"
"Sabers Healy B02",415,0.33,0.21,20,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 1 U12",""
"4-H Manchester U B03",414,0.42,0.16,40,"OR","B03","PTT B03 Premier","","Spr OYS B03 Premier White","OYS State Cup B03"
"FME Xtreme B02",414,0.5,0.14,18,"WA","B02","NPSL B12D3","","",""
"Idaho Inferno B03",412,0.39,0.17,17,"ID","B03","Idaho D3 A U11","","Spr Idaho D3 B U11",""
"HSC United B02",412,0.43,0.16,27,"OR","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"WUSC Manchester United White B02",412,0.29,0.24,31,"OR","B02","OPL 1st Div U12","","Spr OPL Zig Zag Div U12","OPL State Cup U12"
"ISC Gunners B B03",410,0.39,0.17,39,"WA","B03","PSPL Classic 1 U11","","Spr PSPL SuperLeague 2 U11","WA Cup BU11 Gold/Platinum U11"
"SSC Shadow B B02",410,0.34,0.2,31,"WA","B02","RCL B02 Div 4","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"Kent United Black B01",409,0.25,0.26,27,"WA","B01","DIII B13D1","","Spr NPSL B13D2","Founders Cup B01"
"Pumas 04 UNAM B03",405,0.39,0.17,35,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Classic 2 U11","WA Cup BU11 Gold/Platinum U11"
"LASC Aztecas B03",403,0.43,0.15,29,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 1",""
"NEU PDX Blue B03",403,0.39,0.16,35,"OR","B03","OPL 1st Div - BLUE U11","","Spr OYS B03 Div 1","Directors Cup OPL Gold U11"
"Pacific FC Real Blue B03",402,0.4,0.16,38,"WA","B03","OPL 1st Div - BLUE U11","","Spr OPL Willamette Div U11","Directors Cup OPL Gold U11"
"Mukilteo Rush B02",401,0.35,0.18,29,"WA","B02","NPSL B12D2","","","Founders Cup B02"
"Highline Premier Blue B03",400,0.38,0.16,34,"WA","B03","PSPL Classic 1 U11","","Spr PSPL SuperLeague 2 U11","WA Cup BU11 Silver/Bronze U11"
"PYSA Thunderbolts B01",397,0.44,0.14,9,"OR","B01","PTT-B B01 Timbers Div 2","","",""
"FC Boise Royal B02",393,0.6,0.1,15,"ID","B02","Idaho D3 B U12","","Spr Idaho D3 B U12",""
"NWSC Sharks B03",391,0.35,0.17,21,"ID","B03","Idaho D3 B U11","","Spr Idaho D3 A U11",""
"Liga Tlaxtli B03",390,0.4,0.15,11,"WA","B03","","","",""
"TFA Williamette Barca B01",389,0.34,0.17,12,"OR","B01","PTT-B B01 Timbers Div 1","","",""
"Fuerza FC Academy B02",388,0.38,0.15,11,"WA","B02","","","Spr PSPL Copa U12","WA Cup BU12 Silver/Bronze U12"
"Seattle United Samba B04",388,0.36,0.16,8,"WA","B04","","","",""
"FC Alliance C B03",387,0.3,0.19,30,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 3"
"Washington East SC B03",387,0.26,0.22,32,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U12","WA Cup BU11 Gold/Platinum U11"
"BSC HR Vapor B02",385,0.26,0.22,19,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"Snohomish United Black B04",383,0.34,0.16,9,"WA","B04","","","",""
"SOSA Junior Pirates B02",382,0.38,0.14,10,"OR","B02","","","",""
"PacNW White B02",380,0.35,0.16,42,"WA","B02","RCL B02 Div 4","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"ISC Gunners Select B01",379,0.28,0.19,17,"WA","B01","NPSL B13D3","","","Founders Cup B01"
"Spokane Spiders B02",379,0.28,0.19,17,"WA","B02","PSPL-Inland Div 1 U12","","Spr PSPL-Inland Div 2 U12",""
"Seattle United W Blue B03",375,0.4,0.13,24,"WA","B03","NPSL B11D1","","","Founders Cup B03"
"WAFC Tiburones B03",374,0.69,0.08,8,"OR","B03","","","Spr OYS B03 Premier White",""
"Seattle United Shoreline Blue B03",372,0.35,0.15,23,"WA","B03","NPSL B11D1","","","Founders Cup B03"
