"team","total","attack","defense","n.games","region","age","fall.league","other"
"Holomua oi SC G01",862,1.51,1.02,12,"NM","G01","",""
"Colorado Storm 02 South Blue",862,1.61,0.95,35,"CO","G01","CO Classic 4",""
"Oxnard United SC G01",862,1.46,1.05,31,"CAS","G01","CalS CSL Bronze",""
"Anaheim SA Impact Reyes G01",861,1.83,0.83,26,"CAS","G01","CalSouth Signature",""
"MVLA Avalanche Green G01",860,1.91,0.79,31,"CAN","G01","NorCal Silver",""
"Pelada FA Rolling Thunder G01",860,1.55,0.98,36,"OR","G01","Thorns Div 1",""
"San Bruno Lowen 83 Hurricanes G01",860,1.64,0.93,31,"CAN","G01","CalNorth CCSL Silver",""
"Real Colorado Edge Legends G01",860,1.56,0.97,28,"CO","G01","CO Classic 4",""
"THUSC Silver G00",860,1.3,1.17,8,"OR","G00","",""
"FC Milpitas Wildcats G01",860,1.33,1.14,36,"CAN","G01","CalNorth CCSL Silver",""
"North Coast FC Petaluma Red G01",859,1.66,0.91,40,"CAN","G01","NorCal Silver",""
"Real Colorado Silver G01",859,1.03,1.46,27,"CO","G01","CO Classic 3",""
"Arsenal Colorado Blue G01",857,1.59,0.94,24,"CO","G01","CO Classic 2",""
"LA Galaxy CV Red G01",857,1.07,1.39,20,"CAS","G01","CalS CSL Bronze",""
"CDA Slammers Whittier White G01",857,1.74,0.85,38,"CAS","G01","CalSouth DSL3",""
"Meridian United FC Red G01",857,1.71,0.87,34,"ID","G01","IYSA D3-A",""
"AYSO 688 Alliance 02 G01",857,1.43,1.03,33,"AZ","G01","AZOL 2",""
"BoRussia Del Mar G01",857,1.41,1.05,25,"CAS","G01","Presidio AA-C",""
"Montclair SC Clippers Red G01",856,1.2,1.23,33,"CAN","G01","NorCal Silver",""
"NW United Roadrunners Premier G01",856,1.66,0.89,43,"WA","G01","PSPL Premier",""
"Billings Edge Girls G01",856,1.26,1.17,11,"MT","G01","",""
"Sierra Vista Sounders G01",855,1.24,1.19,27,"AZ","G01","",""
"Belmont United SC Fire G01",855,0.98,1.5,19,"CAN","G01","CalNorth CCSL Silver",""
"ETFC Cypress Red G01",855,1.23,1.19,34,"OR","G01","Thorns Div 1",""
"Celtic Hibs G01",854,1.12,1.3,39,"CAS","G01","CalS CSL Bronze",""
"Real Colorado Bronze G01",854,1.64,0.89,34,"CO","G01","CO Classic 4",""
"Anaheim SA Impact G01",853,1.03,1.4,16,"CAS","G01","CalSouth Signature",""
"Roseville YSC Arsenal G01",853,1.14,1.27,40,"CAN","G01","NorCal Silver",""
"FC Nova White G01",852,1.11,1.29,22,"ID","G01","IYSA D3-A",""
